pgpid,type,tags,description
457,Legal document,"ketubba, Marriage","Marriage contract for the same couple as in Antonin 637r. Begins with a clause concerning the appointment of the bride's agent, concludes with the last line of the formulary of the contract, including the blessings. (Friedman, Jewish Marriage, vol. 2, 288, 295) EMS"
458,Legal document,"Maimonides autograph, Responsum","Legal query addressed to Moses Maimonides with his autograph responsum, ca. 1170-1204."
459,Legal document,"legal query, slaves, concubines, Avraham Maimonides, slavery, Responsum","Fragment of a query seeking a responsum, addressed to Avraham Maimonides (1205-1237) regarding an unmarried man living with a female slave. (Information from Mediterranean Society, V, p. 486 and from Goitein's index cards)"
461,Letter,"birth, David I Maimonides","Letter about the birth of David, the grandson of Maimonides, early 13th century (ca. 1226)."
463,Letter,"communal, geonim","Segment of a letter from Shelomo ha-Kohen Gaon b. Eliyyahu, Damascus, to Ulla ha-Levi b. Yosef, Fustat, February 1116."
464,Letter,"communal, geonim, 10th c","Letter from Shemuel b. Hofni, June 977."
465,Letter,"Qaraite, courtier","Letter from Moshe b. Yiṣḥaq, the Karaite, Jerusalem, to one of the Karaite notables in Fustat, around 1040. He reports having received one dinar that Abu Sa'id Ya'qub b. Ibrahim had sent with Abu Sa'id b. al-Sha''ab (another Ibn al-Sha''ab is mentioned in T-S 16.134, v23-24). Information from Goitein's note card (attached to PGPID 6204) and Gil. "
467,Letter,Natan b. Avraham,Fragment of a letter by Natan b. Avraham. 1354/1042.
468,Letter,"teacher, school","Letter from the teacher Abū Saʿīd to al-Shaykh al-Raṣuy, in which he asks in the most humble terms to be paid the fees due to him by the community for children sent to his school. People mentioned include three children of the wife of the Persian (אמראה אלעגמי) who is in the funduq, and Yosef al-Maghribī. (The same sender, there called Saʿīd, wrote T-S NS 324.35 to Avraham Maimonides. AA) NB: Goitein sometimes referred to this fragment as BL OR 5542.23. (See Med Soc II, App. B, doc. 98.)"
469,Letter,"Nahray B. Nissim, travels, al-Tahirti, Nagid","Letter from Barhūn b. Yisḥaq al-Tāhirti to Nahray b. Nissim. Dating: 1045–96 CE. The sons of the late Nagid, who are owed favors, have asked Barhūn to help their cousin (ibn khāl) travel to Alexandria. Barhūn wonders if Nahray might take him along when he travels. Barhūn has already asked a certain Abū Isḥāq (apparently another Barhūn) to give the cousin 50 dirhams. Nahray should make sure Abū Isḥāq has done that, and perhaps he can also contribute some money of his own. (Information from Gil, Kingdom, Vol. 3, pp. 303-304.)"
470,Letter,"communal, geonim",Beginning fragment of letter from Yeshu'a Gaon to communities in Fustat ca. 1010.
472,Legal document,"geonim, release","Legal document. Deed of compensation / bill of release. Dated: 1337 Seleucid (1025–26) CE. Location: Fustat. Written in the hand of Avraham, son of the Gaon. From a woman named Turayk (""Little Turk"") to the wakīl al-tujjār Muḥsin b. Ḥusayn and a number of his family members: three sons, three daughters (Sarwa, Fāʾiza, and Nabīla) and his wife, Fahda. Turayk had lived in Muḥsin's house for more than 10 years, so her heirs might have been able to argue that she should have given part of it to the female members of the household, who had meanwhile come of age. (Information from Med. Soc. 3:45)"
473,Letter,"illness letter 969-1517, illness: mental, old age, France, state expropriation, Spain, Illness, State, Appeal","Letter from a Spanish community to Egypt concerning an impoverished and aging man from Rhodez, France, who appraoched the ruler of his land for redress after his son was murdered; the ruler instead expropriated his possessions. Wants to go to Jerusalem to spend the rest of his life there. Recto after a long alphabetical exordium."
475,Letter,communal,"Letter from a man of communal standing, perhaps Daniel b. Azarya (1051-1062) bestowing the title 'Hod Ha-Zeqenim' upon the worthy elder and physician Avraham Ha-Kohen, ca. 1055. The author refers to his own decree to the Jewish community on recto, line 14: “I issued the decree (nishtevan) to my lord the Shaykh Abu l-Faraj, may God bless him, and he read it, and proclaimed it to the [congregation]."""
476,Letter,"condolence, Tiberias, Women's letters","Letter from the wife of Wahb, Tiberias, to her brother Khalfa b. Ibrāhīm al-Ṭabīb b. al-Ṭabarī, Fustat, eleventh century. She dictated the letter to her son Mubārak b. Wahb, who has an excellent hand. She refers to herself in the letter as Sitt Wahb, interestingly spelled סיד והב. She sends condolences to Khalfa on account of the tragic news of Abū l-Ḥasan and Bint Abū ʿAlī (presumably they died). Her brother had inquired about economic conditions in Palestine, and she reports that bread is a raṭl for a dirham and everything is cheaper in Tiberias than in Ramla. She encourages him to join her in Tiberias but exhorts him to bring Sitt al-Dār with him, for she has no one in the world except God and him. His letters are to be addressed to Sitt Wahb in Sūq al-Yahūd. She mentions some textiles. Her sister (or possibly Mubārak's sister) Umm Bundār sends her regards. Information from Gil. ASE."
478,List or table,"geonim, genealogy","Memorial list of the Gaonic family of Evyatar Ha-Kohen, headed 'principals of schools' but including also names of people that were no Geonim, ca.969-1021. (NB: This dating seems erroneous, as the list includes Maṣliaḥ Gaon, who was in office 1127–39.)"
479,List or table,"communal, waqf, 13th c, qodesh","Account of the qodesh, ca. September 1201. This is an accoutning written on both sides of a single leaf, detached from a notebook. The peculiar thing about this document is that it shows the existence of two separate lists, of inhabited apartments and of empty ones. The latter have their rents listed, in order to compare the actual with the budgeted revenue. There is also a third class, of people who live in their apartments without paying rent. This is extremely unusual in the accounts of the qodesh and can only be explained by the extraordinary conditions of distress at the time. Seven apartments are listed as occupied rent-free; among them, that of R. Anatoli, whose rent was in any case reduced to five dirhams, as against 52 dirhams that he still paid three months earlier. Among the people exempt from payment are ""a poor woman"" and some scholars, one of them styled al-khaver. The total sum counted on as revenue was 336.5 dirhams, whereas the actual income was only 171, i.e., a little more than half. (Information from Gil, Documents, pp. 386 #102)"
480,List or table,genealogy,Genealogical list with the heading : 'Bayt al-Kohen'.
482,Letter,"draft, condolence, death","Draft of letter of condolences from Efrayim b. Shemarya on the death of Toviyya b. Daniel, February 1043 (Gil's dating)."
483,Letter,Megillat Misrayim,"Fragment of a letter in Hebrew. Dating: ca. 1011 CE. Mentions the deaths of Shemarya b. Elḥanan and the cantor Palṭiel, as well as the visit of Shemuel b. Hoshaʿna (known as ha-Shelishi, ""the third"") to Egypt. The sender, ""the third,"" and 23 other Jews were slandered to the government and imprisoned. Complements the narrative found in Megillat Miṣrayim. Reused for piyyuṭ on verso. (Information from Gil's edition.)"
484,Legal document,"Halfon b. Menashshe, ketubba, Marriage","Segment of a ketubba (marriage contract), in the hand of Ḥalfon b. Menashshe ha-Levi."
487,Letter,Nahray B. Nissim,"Letter from Mardūk b. Mūsā to Nahray b. Nissim. In addition to some words about the trade of clothes, Marduk asks Nahray to assist a man who is coming to Fustat soon; the man's name has been lost."
488,List or table,"communal, waqf, 13th c, qodesh, Coptic numerals, acccount","Account of building operations ca. 1216. Expenditures for construction materials and labor, as recorded in the course of several days. The work is done at compounds of the qodesh and the Synagogue of the Palestinians. Some other expenditures, as for captives, are also included. (Information from Gil, Documents, pp. 412 #113)"
489,Legal document,"communal, waqf, qodesh, 11th c","Legal document. Deed of dedication of a house in Damascus to the Great Synagogue, ca. 1090. A certain Meshullam, known as Ibn Shurayq al-Dimashqi, i.e. ""the Damascene,"" dedicates his house to the Great Synagogue of Damascus, to which it is adjacent. The document is a draft written in the hand of Avraham b. Natan, one of the prominent members of the courts in Fustat and Cairo; it is unsigned, and as the name of the donor's father was not yet known, a space was left so it could be inserted later. (Information from Gil, Documents, pp. 214-215 #33)"
491,Legal document,"India, communal, Yemen, 12th c, IB4","Copy of a court record from Aden. Dating: Summer 1131 CE. Concerning a controversy over Jewish communal leadership in Yemen. Goitein thought that this copy was made in the hand of Ḥalfon b. Netanel ha-Levi, but Friedman doubts this. It is not a direct continuation of T-S 20.37, but it concerns the same controversy. Namely, a Persian Nasi who was a cousin of the Exilarch in Baghdad had come to Aden, and the Yemeni public received him with respect and handed over to him the synagogue and religious affairs. He annulled the practice of mentioning the authority of the head of the Palestinian Yeshiva (at that time Maṣliaḥ Gaʾon, based in the Egyptian capital) in prayer and legal documents. The foreign merchants, such as Ḥalfon b. Netanel, opposed this. (Information from Goitein, The Yemenites, pp. 67–68 and Goitein and Friedman, India Book IV; Hebrew description below.) VMR. IB ח7 (ד6+ד7)."
493,Letter,Nahray B. Nissim,"A short, but complete note to Nahray from one of his brothers-in-law, ca. 1045-1096."
494,List or table,"Mamluk, 16th c","List of payments, 16th century."
495,Letter,communal,"Letter of an unknown welfare official reporting to a superior. He alludes to the plight of an orphan girl (1-6). He asks the recipient to investigate the matter of the physician Makārim who has left his wife an agunah; she has been beseeching the writer to write on her behalf (6-13). The rest of the letter has to do with granular details of houses, portions of houses, rents, payments, and interest. Names mentioned include Ibn Zikri, Ibn Rabi', Abu Sharif, R. Shabbetay, and the Kohen from Rhodes. A denomination of currency (?) called אפרנתי is mentioned twice. ASE."
498,Letter,"communal, Avraham Maimonides",Letter to the Nagid Avraham Maimonides (1205-1237) concerning public affairs.
499,Legal document,"inheritance, will, silk","Will of a silk-weaver named Abū l-Faḍl b. Barakāt Ibn al-Maqdisī, dividing his house, workshop, and other belongings to his four sons. In the hand of Yosef b. Shemuel b. Seʿadya ha-Levi. Location: Fustat. Dated: Wednesday, 15 Kislev 1500 Seleucid, which is December 1188 CE, under the authority of the Gaʾon Sar Shalom ha-Levi. Signed by: Shelomo b. Nissim and Levi b. Avraham ha-Levi (may be identical with Abū Sahl Levi the cantor, father of Yedutun and Moshe b. Levi; may also be the same Levi b. Avraham who appears in T-S NS J273 in connection to a silk workshop). There is a full translation and commentary in Goitein's attached notes. ENA NS 76.435.6 + ENA NS 76.435.7 is an earlier, messier version of the same document (same scribe, same date, signed by the same witnesses)."
501,Letter,"communal, Elhanan b. Shemarya","Letter to the community of Jerusalem from Elhanan b. Shemarya, 1013 CE."
502,Letter,"Mosul Nasis, Mongols, invasion","Letter about the Mongol invasion. Mosul, December 1236."
503,Letter,"geonim, Efrayim b. Shemarya, Shelomo b. Yehuda","Letter from Shelomo b. Yehuda to Efrayim b. Shemarya, approximately 1028."
504,Legal document,"ketubba, Marriage, Ramla, toilet","Marriage contract written by the Gaʾon Eliyyahu b. Shelomo ha-Kohen (served 1062–83). Location: Ramla. Dating: Probably 1064 CE. The property of the bride includes an upper story with its kitchen, toilet (בית כסא), and half a well of non-potable water."
505,Legal document,"11th c, Tyre","Deposition in the Jewish Court of Tyre, ca. 1028. The rent of a compound in Aleppo has been dedicated by its owner, Hilla b. Joseph, to the Great Synagogue in that city; the sons of Hilla, Mevorakh and Mufarrij, now live in Tyre. They declare before the court that the allegations of a certain man from Aleppo, who claims that the house was sold to him by their father, are vain and unfounded. The brothers insist twice upon the fact that it is the rent that was dedicated. They also insist on the fact that the man cannot prove the purchase, since he holds no deeds of purchase. The intention of the brothers to sell that house is apparent enough, though the relevant passage in this matter has unfortunately been damaged. They seem to be insisting that the dedication of the rent was on condition that it lapses if the heirs decide to sell it. Had the house itself been dedicated, the heirs would not have had a word to say about deeds of purchase nor would the case have been discussed in court at all. As we have it, the story behing the document seems to be that the late Hilla actually received money from the purchaser, but died before the deed of sale had been concluded. The heirs now strive to prevent the man from collecting the rent of the house, in order not to create a legal precedent, and keep the right to sell it at a convenient opportunity. The community of Aleppo probably claimed that the house itself had been dedicated. As to the claimant, he seems to have taken some steps to gain possession of the house, perhaps with the aid of a Muslim court. We have the therefore three parties involved in the case, with conflicting interests. The deposition of the brothers, as recorded by the court in Tyre, is preceded by a lenghty verified introduction, in a very flowery style, which forms the first half of the letter. The first part of the introduction is a eulogy, alphabetically arranged, to the learned people of Aleppo and their leader, the head of the court, R. Yaʿaqov b. Joseph. The letter is written in the hand of Shemuel b. Moshe. (Information from Gil, Documents, pp. 127-128 #2)"
506,Legal document,"ketubba, Marriage",Karaite marriage contract from Fustat.
507,Legal document,"ketubba, Marriage, Qaraite, Ramla","Karaite ketubba (marriage contract), Ramla. Ca. 1030."
508,Legal document,"Partnership, Responsum","Legal query addressed to the Gaon and Nasi Daniel b. ʿAzarya in Jerusalem with regard to the goods of a merchant, Moshe b. Yehuda ha-Ma'arvi, who died at sea on a commercial journey to Sicily. The goods were registered under the name of his partner, Ḥasan ha-Kohen b. SulIīmān, in order to avoid taxes in Sicily. See also T-S 20.152 (PGPID 1783) and T-S NS J161 + T-S 12.5 (PGPID 1676)."
509,Letter,"geonim, Shelomo b. Yehuda",Letter from Shelomo b. Yehuda to Avraham Ha-Kohen b. Yiṣḥaq. Probably Ca. 1030
510,Letter,"Qaraite, courtier","Letter from Moshe b. Yiṣḥaq the Qaraite, in Jerusalem, to Shemuel b. ʿAzarya b. Mevasser, one of the leaders of the Qaraites in Fustat, Dating: ca. 1044 CE. Reporting on the state of the barley crop (for calendrical purposes) among other matters."
512,Legal document,"Muslims, ulama","Legal document, mentions ziqnei ha-yishmaelim. Deed of authorization of son to represent mother before her two brothers concerning the collection of debt at Efrayim b. Shemarya's court. Written in Tyre, confirmed in Fustat."
513,Legal document,"Maimonides, Responsum","Middle fragment: Legal query addressed ""our master Moshe,"" possibly Maimonides (d. 1204). ""To have traveled widely was a title of pride. No wonder that some ambitious person tried to usurp that title without having deserved it. The Geniza contains a note addressed to Maimonides asking the some- what quaint question what to do with a man who ascended the reader's platform of a synagogue and pronounced the benediction of thanksgiving for safe return from travel by sea, but had not traveled at all. The master's answer to this query, if given at all, has not been preserved."" (Goitein, Med Soc I, p. 352.)"
515,Letter,"geonim, Efrayim b. Shemarya","Fragment of a letter from Yoshiyyahu Gaon to Efrayim b. Shemarya, approximately 1020."
516,Legal document,"dowry, Marriage","Legal agreement on dowry rights. Dated: First decade of Ḥeshvan 1442 Seleucid, which is 1130 CE. Betweeen Sitt al-Kull bt. Berakhot known as Naṭīra and her husband the poet (ha-meshorer) Ṣedaqa b. Ṣemaḥ. He grants her all her dowry; she releases him from responsibility. He is also warned that he would have to give her the delayed marriage payment if he should ever take a second wife. Signed by Ḥalfon b. Ghālib the cantor and Natan b. Yefet. (Information from Goitein's index card.)"
517,List or table,"communal, qodesh, 11th c, synagogue, acccount, Yefet b. David b. Shekhanya","Account of the Qodesh: building expenditures, ca. 1041. Most items in this account refer to building operations at the synagogue. Some other synagogue expenditures, such as oil, are also listed. Further details refer to a number of compounds belonging to the qodesh. It is written in a calligraphic handwriting and the account was probably intended ofr public display in the synagogue. The handwriting of Yefet b. David b. Shekhanya can be recognized. Since the document refers to oil used in the synagogue to the end of Elul 1351 Sel. (10 Sept. 1040), it was probably written in 1041. The verso of the document was used at the end of 1041 for an account written in Arabic characters [see PGPID 4414]. (Information from Gil, Documents, pp. 175 #12)"
519,Letter,"epidemic, illness: marad, illness letter 969-1517, Seljuks, epidemic: a'lal, illness: foreigner, illness: chronic, merchant, siege of Alexandria, epidemic: waba', epidemic: amrad, epidemic: dever, Illness, Crusades","Letter from an older Maghribī traveler, in Alexandria, to his cousin, somewhere in the Maghrib. In Judaeo-Arabic. Dating: ca. 1100 CE. Evidently this letter was never sent. The writer has spent the last five years in Egypt attempting to make a pilgrimage to Jerusalem. He describes the various disasters of the years 1095–1100 to justify both why he has failed to reach Jerusalem and why too he has remained in Egypt instead of returning to his family and waṭan. First, he describes the chaos in Palestine under the Seljuq occupation (""many armed bands made their appearance in Palestine""). He next describes the 1095 siege of Alexandria in which the vizier al-Afḍal deposed Nizār and secured the caliphate for al-Mustaʿlī (""the city was ruined. . . the Sultan conquered the city and caused justice to abound""). He again prepared for travel ""when God conquered Jerusalem at his [the caliph's] hands,"" i.e., in 1098, only to be foiled by the appearance of the Franks, who ""killed everyone in the city, whether Jew or Muslim."" The writer is confident that the Fatimids will retake Jerusalem this very year, so he intends to remain in Egypt until he sees Jerusalem or gives up all hope. The letter ends with the writer's protracted illnesses. Throughout these years, the land has been filled with epidemic diseases (wabā', aʿlāl, amrāḍ, dever). The wealthy became impoverished, ""most people died,"" entire families were destroyed. The writer himself developed a grave illness (maraḍ ṣaʿb), which lasted one year, and was shortly followed by another grave illness, which has lasted four years and perhaps continues to the present day. ""Indeed [true is] what the Scripture has said of the dreadful disease of Egypt (Deut. 7:15). . . . He who hiccups (yastanshiq) will not escape from it. . . . ailments and will die from them. . . . Otherwise, he will remain alive."" Note that ""yastanshiq"" typically means ""inhale"" or ""snuff"" (e.g., water for ritual ablutions) rather than ""hiccup."" Information largely from Goitein's attached translation and notes, and Goldman, ""Arabic-Speaking Jews in Crusader Syria"" (diss.), pp. 38–42, where there is a thorough analysis of the letter's context and a discussion of the writer's penchant for hyperbole."
520,Legal document,geonim,"Court proceeding from the court of Yoshiyyahu Gaon, approximately 1010. Testimony of two business partners who quarreled. Original document of their partnership done in Fustat by Shemariyah b. Elhanan."
521,Letter,"communal, Sahrajt, Yehuda b. Saadya","Letter from Yehuda b. Saadya to the leader of the community of Sahrajt demanding that the case of a widow, the sister of a prominent banker to the government, be settled expeditiously."
523,Legal document,"Ramla, gift","Fragment of a deed of gift, given in Ramla, approximately 1030."
524,Legal document,"ketubba, Marriage, Tiberias","Marriage contract. Location: Tiberias (here called Tiberias Colonia / טיבריא קלוניא). Dated: Thursday, 12 Sivan [4]795 AM = 22 May 1035 CE. Groom: Yiṣḥaq b. Avraham. Bride: Nāʿima bt. Moshe. The groom may be identical with the Yiṣḥāq b. Avraham who signed Moss. VII,34 (PGPID 6953) in Tiberias in 1051 CE. (Information from Friedman's edition.) NB: Friedman refers to this document as Bodl. MS heb. c 13/10."
525,Legal document,"Tiberias, sale",Legal document. Copy (nuskha) in Hebrew script of an Arabic-script acknowledgement regarding a sale of a store in Tiberias. Dated: middle decade of Shawwāl 425 AH = August/September 1034 CE.
526,Letter,Tiberias,"Letter from Shelomo Ha-Kohen b. Yosef, Dalton, to Hillel Ha-Ḥaver b. Yeshua Ha-Hazzan, Tiberias, approximately 1030."
527,Letter,"illness letter 969-1517, Tiberias, Tiberias lepers, Illness",Fragment of a letter on behalf of the lepers of Tiberias.
529,Letter,"illness letter 969-1517, Tiberias, Tiberias lepers, Illness","Fragment of a letter from the lepers of Tiberias, probably to Fustat."
530,Letter,"illness letter 969-1517, Tiberias, Tiberias lepers, Illness",Fragment of a letter from the lepers of Tiberias to Mukhtar and his brother.
531,Letter,Nahray B. Nissim,Letter from Yeshu'a b. Yosef to Nahray b. Nissim.
532,Letter,"communal, geonim, Efrayim b. Shemarya, Shelomo b. Yehuda","Letter from Shelomo b. Yehuda to Efrayim b. Shemarya, approximately 1035."
533,Letter,"inheritance, Islamic court, State","Letter from Tiberias, containing a legal document recording their estate in the Muslim registration of Tiberias, dated 940. Ca. 1020"
534,Legal document,mandate,"Legal document, Sunday 3 Adar II 4845 A.M. (1085), Alexandria. Yehuda b. Moshe b. Sighmar appoints Eli ha-Kohen b. Hayyim (=b. Yahya) as his agent to represent him in a litigation against a business partner, Avraham Ha-Kohen b. Faraj al-Rahbi. This is three years after Yehuda had asked Eli to help him to get the money that Avraham owed him and ten years after the original deal between the two. See also Bodl. MS heb. d 65/5 (ed. Cohen in Journal of the Economic and Social History of the Orient, 56 [2013], pp. 218-263, also in Gil, Kingdom, Vol. 4, #623)."
535,Legal document,"polygyny, engagement","Engagement (shiddukhin) contract for a second wife. Location: Fustat. Dating: ca. 1165–66 CE, as the reshut clause invokes the Gaʾon Netanʾel ha-Levi (1160–66) and the document is written in the hand of the court scribe Shemuel b. Seʿadya ha-Levi (active 1165–1203). Manṣūr b. Makārim of Bilbays, already the husband of a woman named ʿAmāʾim, came before the court (probably in Fustat or Cairo) together with Abū Naṣr b. Abū Saʿīd, the half-brother (shared mother) of a woman named Maʿālī. Together the two men agree on the conditions for Manṣūr's marriage to Maʿālī. (1) Maʿālī will have her own apartment, not shared with ʿAmāʾim. (2) Manṣūr will not take a third wife. (3) Maʿālī will live with Manṣūr's daughter Milāḥ, likely the daughter of ʿAmāʾim (Goitein speculated that ʿAmāʾim must have suffered from a physical or mental illness preventing her from taking care of her own daughter). (4) Marriage payments: 2 + 15 = 17 dinars. (Information from M. A. Friedman's edition.)"
536,Letter,"communal, geonim, Efrayim b. Shemarya","Letter from Avraham, son of the Gaon, to Efrayim b. Shemarya, approximately 1029."
537,Letter,,"Letter from Natan b. Shemuel he-Ḥaver, in Fustat, to Petahya b. ʿOvadya ha-Kohen, in Damascus. Almost entirely in rhymed Hebrew with one sentence in Judaeo-Arabic in the margin of verso. Dated: Ḥeshvan 1453 Seleucid, which is October/November 1141 CE. Natan complains that his junior school friend has not written to him for a long time. He also conveys his greetings to Petahya's family. Natan's sons Mevorakh, Seʿadya, and Yehosef send their greetings. Natan concludes with a request for pens.

Goitein summarizes this document as follows (Med Soc V, p. 294): ""Judge Natan b. Shemuel he-ḥaver (Med. Soc, II, 513, sec. 18) served as secretary of the Damascus branch of the Jerusalem yeshiva, but accompanied Maṣliaḥ Gaon, when he opened a Cairene branch in 1127. In a letter from Fustat, dated October/November 1141, Natan complained bitterly about the addressee, Petahyahu ha-Kohen, a close companion of his youth, and two other friends in Damascus, from whom he had not received letters for years. True, in 1141 the Crusaders' kingdom separated Damascus from Egypt. But we know that Jews and Muslims were permitted to travel through the Christian territory, and our letter reports the arrival of a dignitary from Damascus carrying an eloquent epistle to the Egyptian Nagid written by Natan's friend Petahyahu. Natan does not complain about the Crusaders. He accuses Time: 'I complain about Time, the perfidious, the faithless, which disregards the claims of brotherhood and impedes its growing; it weakens and emaciates the love of friends. This is its character from its very beginning, incessantly urging separation, the treacherous robber! . . . It changed your relationship with me, you, my friend and beloved, whom I have reared on my knees, until I made you my equal.'"""
542,Letter,"arrest, Officials, State",Fragment of a letter from an imprisoned government official. 12th century.
543,Letter,"Jerusalem, Ramla","Letter from Eli Ha-Kohen B. Ezekiel, Jerusalem, to two persons in Ramla."
544,Legal document,"excommunication, arrest","Recto: Legal record of a sale of an upper-story apartment made by Surūra bt. Shelomo ha-Rofeʾ to Yiṣḥaq b. Avraham al-Qābisī. In the margin mentions someone's possession in Qayrawān and someone of the family Ibn al-Jāsūs. 

Verso: Legal record in Hebrew demanding a punishment of excommunication and three days of house arrest for Ṣibyān b. Saʿadya ha-Kohen who libeled his kinsman Abū l-Faḍl Yosef b. Peraḥya as being a descendant of slaves. Location: Fustat. Dated: Sunday, 21 Kislev 1355 Seleucid = 26 November 1043 CE."
546,Letter,communal,"Letter from Fustat to Sadoq Ha-Levi b. Levi, head of the Palestinian yeshiva. Ca. 1030"
547,List or table,"communal, synagogue",List of functionaries from the Babylonian synagogues of Fustat and Cairo eligible for funds from the community.
548,Letter,Ascalon,Letter from Natan Ha-Kohen b. Mevorakh from Ascalon to Eli Ha-Kohen b. Hayyim in Fustat. 26 October 1093
549,Letter,Maimonides,"Letter from al-Fayyumi b. Saadia, probably addressed to Moses Maimonides."
550,Letter,"communal, geonim, Shelomo b. Yehuda",Letter from Shelomo b. Yehuda to Avraham Ha-Kohen b. Yiṣḥaq b. Furat. Ca. 1030
552,Letter,"communal, geonim, Shelomo b. Yehuda, Avraham b. Sahlan","Letter from Shelomo b. Yehuda to Abraham b. Sahlan, noting that in a previous epistle he thanked Abraham for the donation the Fustat community had sent through the elder Shelomo b. Sa‘adya, to Levi b. Menahem. The Gaon writes this current letter on behalf of a certain Sadaqa b. Menahem, who eulogizes Abraham for his kindness and repents his former misdeeds, furthermore relating that the ""mighty elder"" had promised to write to some his representatives to find Sadaqa some employment in Egypt. The Gaon requests Abraham to interest himself in Sadaqa. (Jacob Mann, The Jews in Egypt and Palestine under the Fatimids (New York: Ktav Pub. House, 1920-22; reprint 1970), 1:118, 2:134-5) EMS"
553,Letter,"communal, excommunication, Qaraite, theft","Letter from a Karaite to his community, asking for the proclamation of a ban against certain people who suspect him of stealing."
554,List or table,genealogy,Genealogical list of Eleazar Ha-Kohen b. Shelomo.
555,List or table,"communal, waqf, 13th c, qodesh, acccount","Account of building operations ca. 1215. A list of expenditures made at Dar b. Pinhas in the course of several days in the month of Marheshwan, using Coptic numerals. (Information from Gil, Documents, pp. 408 #110)"
556,Letter,"communal, geonim, Efrayim b. Shemarya, Shelomo b. Yehuda","Letter from Shelomo b. Yehuda to Efrayim b. Shemarya, 1040."
557,List or table,"communal, waqf, 13th c, qodesh, Coptic numerals, acccount","Account of building operations ca. 1240. Written on a sheet of paper made into a booklet of four leaves, it is a record of current payments for building materials and labor. The works going on are financed from huge sums of rent deposited with the banker al-As'ad in the course of two years. (Information from Gil, Documents, pp. 453 #136) "
558,Letter,"Ibn Awkal, merchant",Letter from Efrayim b. Ismaʿil al-Jawharī to Yosef b. 'Awkal.
559,List or table,Ibn Awkal,"An account for Yosef b. 'Awkal followed by a short letter, probably to Ibn 'Awkal."
560,Legal document,"ketubba, Marriage, Tinnis",Ketubba (marriage contract). A four piece join from an early 11th century Palestinian style ketubba from Tinnīs. Groom: Mevasser b. Yiṣḥaq. Bride: ʿAzīza bt. Ḥasan. Location: Tinnīs (Egypt). Written by Ṣemaḥ the cantor. Dating: Between 942/43 and 1033/34 CE.
561,Legal document,"ketubba, Marriage, Damascus","Marriage contract from Damascus, 956, which records a marriage gift of 225 dinars (of which only 25 were advanced) and a dowry evaluated at 395 dinars. (Friedman, Jewish Marriage, vol. 197-9) EMS"
562,Letter,"Qayrawan, Efrayim b. Shemarya",Letter from Qayrawan to Efrayim b. Shemarya in Fustat. 23 July 1035.
